branch,program,iteration,vsz_pr,rss_pr,vsz_tc,rss_ts,vsz_cg,rss_cg
compact-token,chibicc_combined.tea,10,6204,6132,8712,8824,1608,1320
compact-token,chibicc_combined.tea,11,6204,6072,8712,8944,1608,1320
compact-token,chibicc_combined.tea,12,6204,6132,8712,8884,1608,1320
compact-token,chibicc_combined.tea,13,6204,6132,8712,8900,1608,1320
compact-token,chibicc_combined.tea,14,6204,6132,8712,8884,1608,1332
compact-token,chibicc_combined.tea,15,6204,6192,8712,9004,1608,1320
compact-token,chibicc_combined.tea,16,6204,6132,8712,8944,1608,1320
compact-token,chibicc_combined.tea,17,6204,6132,8712,8884,1608,1324
compact-token,chibicc_combined.tea,18,6204,6132,8712,8944,1608,1320
compact-token,chibicc_combined.tea,19,6204,6132,8712,8884,1608,1320
compact-token,chibicc_combined.tea,20,6204,6132,8712,8900,1608,1320
compact-token,chibicc_combined.tea,21,6204,6132,8712,8884,1608,1332
compact-token,chibicc_combined.tea,22,6204,6132,8712,8944,1608,1320
compact-token,chibicc_combined.tea,23,6204,6132,8712,8884,1608,1320
compact-token,chibicc_combined.tea,24,6204,6132,8712,8956,1608,1332
compact-token,chibicc_combined.tea,25,6204,6192,8712,9004,1608,1320
compact-token,chibicc_combined.tea,26,6204,6132,8712,8884,1608,1320
compact-token,chibicc_combined.tea,27,6204,6132,8712,8884,1608,1320
compact-token,chibicc_combined.tea,28,6204,6132,8712,8824,1608,1320
compact-token,chibicc_combined.tea,29,6204,6072,8712,8944,1608,1320
compact-token,chibicc_combined.tea,30,6204,6132,8712,8884,1608,1320
compact-token,chibicc_combined.tea,31,6204,6132,8712,8944,1608,1320
compact-token,chibicc_combined.tea,32,6204,6192,8712,8944,1608,1328
compact-token,chibicc_combined.tea,33,6204,6132,8712,8824,1608,1320
compact-token,chibicc_combined.tea,34,6204,6132,8712,8884,1608,1320
compact-token,chibicc_combined.tea,35,6204,6132,8712,8884,1608,1320
compact-token,chibicc_combined.tea,36,6204,6132,8712,8884,1608,1320
compact-token,chibicc_combined.tea,37,6204,6132,8712,8944,1608,1320
compact-token,chibicc_combined.tea,38,6204,6132,8712,8944,1608,1320
compact-token,chibicc_combined.tea,39,6204,6132,8712,8944,1608,1320
compact-token,chibicc_combined.tea,40,6204,6132,8712,8956,1608,1320
compact-token,chibicc_combined.tea,41,6204,6132,8712,8944,1608,1320
compact-token,chibicc_combined.tea,42,6204,6132,8712,8884,1608,1320
compact-token,chibicc_combined.tea,43,6204,6132,8712,8824,1608,1320
compact-token,chibicc_combined.tea,44,6204,6132,8712,8884,1608,1320
compact-token,chibicc_combined.tea,45,6204,6192,8712,9004,1608,1320
compact-token,chibicc_combined.tea,46,6204,6132,8712,8956,1608,1324
compact-token,chibicc_combined.tea,47,6204,6132,8712,8884,1608,1320
compact-token,chibicc_combined.tea,48,6204,6132,8712,8884,1608,1320
compact-token,chibicc_combined.tea,49,6204,6132,8712,8900,1608,1320
compact-token,chibicc_combined.tea,50,6204,6192,8712,8944,1608,1320
compact-token,chibicc_parse.tea,1,3432,3228,5148,5392,736,528
compact-token,chibicc_parse.tea,2,3432,3228,5148,5524,736,528
compact-token,chibicc_parse.tea,3,3432,3288,5148,5572,736,528
compact-token,chibicc_parse.tea,4,3432,3228,5148,5512,736,528
compact-token,chibicc_parse.tea,5,3432,3228,5148,5512,736,532
compact-token,chibicc_parse.tea,6,3432,3168,5148,5512,736,528
compact-token,chibicc_parse.tea,7,3432,3228,5148,5512,736,528
compact-token,chibicc_parse.tea,8,3432,3228,5148,5512,736,528
compact-token,chibicc_parse.tea,9,3432,3228,5148,5392,736,528
compact-token,chibicc_parse.tea,10,3432,3228,5148,5512,736,528
compact-token,chibicc_parse.tea,11,3432,3228,5148,5452,736,528
compact-token,chibicc_parse.tea,12,3432,3228,5148,5452,736,528
compact-token,chibicc_parse.tea,13,3432,3228,5148,5452,736,532
compact-token,chibicc_parse.tea,14,3432,3228,5148,5452,736,532
compact-token,chibicc_parse.tea,15,3432,3228,5148,5452,736,528
compact-token,chibicc_parse.tea,16,3432,3288,5148,5572,736,528
compact-token,chibicc_parse.tea,17,3432,3228,5148,5452,736,536
compact-token,chibicc_parse.tea,18,3432,3228,5148,5512,736,528
compact-token,chibicc_parse.tea,19,3432,3168,5148,5512,736,528
compact-token,chibicc_parse.tea,20,3432,3228,5148,5392,736,528
compact-token,chibicc_parse.tea,21,3432,3228,5148,5392,736,528
compact-token,chibicc_parse.tea,22,3432,3228,5148,5512,736,528
compact-token,chibicc_parse.tea,23,3432,3228,5148,5512,736,532
compact-token,chibicc_parse.tea,24,3432,3228,5148,5452,736,528
compact-token,chibicc_parse.tea,25,3432,3228,5148,5392,736,528
compact-token,chibicc_parse.tea,26,3432,3228,5148,5392,736,536
compact-token,chibicc_parse.tea,27,3432,3228,5148,5468,736,528
compact-token,chibicc_parse.tea,28,3432,3228,5148,5452,736,528
compact-token,chibicc_parse.tea,29,3432,3228,5148,5468,736,528
compact-token,chibicc_parse.tea,30,3432,3228,5148,5452,736,528
compact-token,chibicc_parse.tea,31,3432,3228,5148,5392,736,528
compact-token,chibicc_parse.tea,32,3432,3228,5148,5452,736,528
compact-token,chibicc_parse.tea,33,3432,3168,5148,5512,736,528
compact-token,chibicc_parse.tea,34,3432,3228,5148,5512,736,528
compact-token,chibicc_parse.tea,35,3432,3228,5148,5392,736,528
compact-token,chibicc_parse.tea,36,3432,3288,5148,5512,736,528
compact-token,chibicc_parse.tea,37,3432,3288,5148,5512,736,528
compact-token,chibicc_parse.tea,38,3432,3168,5148,5512,736,540
compact-token,chibicc_parse.tea,39,3432,3228,5148,5512,736,528
compact-token,chibicc_parse.tea,40,3432,3168,5148,5512,736,528
compact-token,chibicc_parse.tea,41,3432,3228,5148,5392,736,540
compact-token,chibicc_parse.tea,42,3432,3228,5148,5512,736,528
compact-token,chibicc_parse.tea,43,3432,3228,5148,5524,736,528
compact-token,chibicc_parse.tea,44,3432,3228,5148,5452,736,528
compact-token,chibicc_parse.tea,45,3432,3228,5148,5392,736,528
compact-token,chibicc_parse.tea,46,3432,3228,5148,5452,736,528
compact-token,chibicc_parse.tea,47,3432,3288,5148,5572,736,528
compact-token,chibicc_parse.tea,48,3432,3228,5148,5452,736,528
compact-token,chibicc_parse.tea,49,3432,3228,5148,5452,736,528
compact-token,chibicc_parse.tea,50,3432,3228,5148,5468,736,528
compact-token,gzip.tea,1,4092,4020,1056,1168,864,800
compact-token,gzip.tea,2,4092,4020,1056,1288,864,792
compact-token,gzip.tea,3,4092,4020,1056,1288,864,792
compact-token,gzip.tea,4,4092,4080,1056,1288,864,792
compact-token,gzip.tea,5,4092,4020,1056,1228,864,792
compact-token,gzip.tea,6,4092,4020,1056,1288,864,792
compact-token,gzip.tea,7,4092,4080,1056,1348,864,792
compact-token,gzip.tea,8,4092,4020,1056,1288,864,792
compact-token,gzip.tea,9,4092,4020,1056,1288,864,792
compact-token,gzip.tea,10,4092,4080,1056,1348,864,792
compact-token,gzip.tea,11,4092,4020,1056,1300,864,800
compact-token,gzip.tea,12,4092,4080,1056,1348,864,792
compact-token,gzip.tea,13,4092,4020,1056,1288,864,792
compact-token,gzip.tea,14,4092,4020,1056,1244,864,792
compact-token,gzip.tea,15,4092,4020,1056,1168,864,792
compact-token,gzip.tea,16,4092,4020,1056,1244,864,804
compact-token,gzip.tea,17,4092,4020,1056,1288,864,796
compact-token,gzip.tea,18,4092,4020,1056,1288,864,792
